name,duration,start,due,assignee,description
Header Component,1.5,11/08/2025,11/09/2025,thiagomenezesdeoliveira,"Global header/navigation with institution logo, main menu, dropdown menus, utility links (Whatsapp, Seu aluno), CTA button, and mobile hamburger menu. Sticky on scroll."
Footer Component,1,11/08/2025,11/09/2025,thiagomenezesdeoliveira,"Global footer with institution logo, social media links (Instagram, Facebook, Twitter, WhatsApp), multi-column navigation (Sobre, Formas de ingresso, Áreas), QR code e-MEC, and legal links."
Home Hero Section,1.5,11/09/2025,11/10/2025,thiagomenezesdeoliveira,"Homepage hero with large background image/video, headline, CTA buttons (Graduação/Pós), and quick search form (course + city inputs). Includes carousel navigation and animations."
Home Course Catalog,2,11/09/2025,11/11/2025,thiagomenezesdeoliveira,"Featured courses grid (4 per row) with CourseCard component showing course name, degree type, duration, modality badges, price, campus location, and CTA. Integrated with Courses API + Strapi enrichment."
Home Promotional Banners,0.5,11/10/2025,11/10/2025,thiagomenezesdeoliveira,"3 promotional cards in a row with background colors/images, icons, titles, and CTA buttons. Hover effects and responsive stacking on mobile."
Home Modalities Section,0.5,11/10/2025,11/10/2025,thiagomenezesdeoliveira,"Dark blue section with 3 modality cards (Presencial, Semipresencial, EAD). Each card shows icon, title, description, and link to filtered courses."
Home Areas Selector,1,11/11/2025,11/12/2025,thiagomenezesdeoliveira,"Study areas grid with image cards (Engenharia & Tecnologia, Ciências Humanas, etc.). Each card has background image with text overlay and links to filtered course search. 4 columns on desktop."
Home Career Path,0.5,11/11/2025,11/11/2025,thiagomenezesdeoliveira,"Two large cards side-by-side for Graduação vs Pós-graduação. Each shows icon, title, description, modality badges, and CTA button. Stacks on mobile."
Home Entry Methods,0.5,11/11/2025,11/11/2025,thiagomenezesdeoliveira,"4 entry method cards (Vestibular, ENEM, Transferência, Outro diploma) in grid layout. Each card shows icon, title, description, and optional CTA link."
Home Infrastructure Gallery,0.5,11/12/2025,11/12/2025,thiagomenezesdeoliveira,"Photo gallery grid showing campus facilities (6+ images). Includes optional lightbox modal for full-size viewing. Images optimized with next/image and lazy loading."
Course Search Filters,1.5,11/12/2025,11/13/2025,thiagomenezesdeoliveira,"Sidebar with collapsible filters: degree type, city, search radius, course name, modality checkboxes, price range slider, shift, duration. Synced with URL params. Mobile drawer on small screens."
Course Search Results,1,11/13/2025,11/14/2025,thiagomenezesdeoliveira,"Results grid with header (count + sort dropdown), course cards (3 columns), pagination, loading skeletons, and empty state. Integrated with Courses API and URL state."
Course Details Hero,1,11/13/2025,11/14/2025,thiagomenezesdeoliveira,"Course page hero with breadcrumb, large image/video, course title + metadata, curriculum link, modality selector (Presencial/Semi/EAD), and entry method selector (4 card options)."
Course Details Content,1,11/14/2025,11/15/2025,thiagomenezesdeoliveira,"Content section with 'Sobre o curso' (richtext from Strapi: description, career opportunities, curriculum highlights) and related courses carousel (horizontal scrolling, 4 cards visible)."
Course Details Lead Form,1,11/14/2025,11/15/2025,thiagomenezesdeoliveira,"Sticky sidebar form with enrollment banner, input fields (name, email, phone), course info display (price, campus), and submit button. Form validation with Zod, submits to Leads API."
Lead Enrichment Form,1.5,11/14/2025,11/15/2025,thiagomenezesdeoliveira,"Full pre-registration form with simplified header. Sections: personal info (name, email, DOB, phone), academic info (ENEM, start date), work info (employed, salary). Two-column layout with sticky summary sidebar."
